Attribute,Description
DBIC_Y,KBM-Flags-Interest Code-Bicycling-Yes
DBKR_Y,KBM-Flags-Interest Code-Book Reading-Yes
DBOT_Y,KBM-Flags-Interest Code-Boating/Sailing-Yes
DBVD_Y,KBM-Flags-Interest Code-Buy Videos-Yes
DCAT_Y,KBM-Flags-Interest Code-Own a Cat-Yes
DCHR_Y,KBM-Flags-Interest Code-Donate Charity-Yes
DCMP_Y,KBM-Flags-Interest Code-Camping/Hiking-Yes
DCOL_Y,KBM-Flags-Interest Code-Collectibles-Yes
DCRF_Y,KBM-Flags-Interest Code-Crafts-Yes
DCRR_Y,KBM-Flags-Interest Code-Career Activities-Yes
DCUL_Y,KBM-Flags-Interest Code-Cultural/Art Events-Yes
DDOG_Y,KBM-Flags-Interest Code-Own a Dog-Yes
DDWC_Y,KBM-Flags-Interest Code-Dieting/Weight Control-Yes
DELE_Y,KBM-Flags-Interest Code-Electronics-Yes
DFAS_Y,KBM-Flags-Interest Code-Fashion Clothing
DFIT_Y,KBM-Flags-Interest Code-Physical Fitness-Yes
DFRN_Y,KBM-Flags-Interest Code-Home Furnishing/Decorating-Yes
DFSH_Y,KBM-Flags-Interest Code-Fishing-Yes
DFTV_Y,KBM-Flags-Interest Code-Travel Foreign-Yes
DGAR_Y,KBM-Flags-Interest Code-Gardening-Yes
DGCH_Y,KBM-Flags-Interest Code-Grandchildren-Yes
DGLF_Y,KBM-Flags-Interest Code-Golf-Yes
DGMB_Y,KBM-Flags-Interest Code-Casino Gambling-Yes
DGRM_Y,KBM-Flags-Interest Code-Gourmet/Foods-Yes
DHLH_Y,KBM-Flags-Interest Code-Health/Natural Foods-Yes
DHNT_Y,KBM-Flags-Interest Code-Hunting/Shooting-Yes
DIMP_Y,KBM-Flags-Interest Code-Self-Improvement-Yes
DMBY_Y,KBM-Flags-Interest Code-Mail Order Buyer-Yes
DMCI_Y,KBM-Flags-Interest Code-Motorcycling-Yes
DMVT_Y,KBM-Flags-Interest Code-Military Veteran-Yes
DPET_Y,KBM-Flags-Interest Code-Household Pets-Yes
DPIC_Y,KBM-Flags-Interest Code-Photography-Yes
DRVL_Y,KBM-Flags-Interest Code-Recreational Vehicle-Yes
DSEW_Y,KBM-Flags-Interest Code-Sewing-Yes
DSSK_Y,KBM-Flags-Interest Code-Snow Skiing-Yes
DSWP_Y,KBM-Flags-Interest Code-Sweepstakes-Yes
DTVL_Y,KBM-Flags-Interest Code-Travel in USA-Yes
DWIN_Y,KBM-Flags-Interest Code-Wines-Yes
DWLK_Y,KBM-Flags-Interest Code-Walking/Health-Yes
FINB_Y,KBM-Flags-Credit Active-Financial Services Banking-Yes
FINC_Y,KBM-Flags-Credit Active-Financial Services Credit-Yes
FINI_Y,KBM-Flags-Credit Active-Financial Services Insurance-Yes
FURN_Y,KBM-Flags-Credit Active-Furniture-Yes
GROC_Y,KBM-Flags-Credit Active-Groceries-Yes
HHID,KBM-ID-Household ID
HIR_Y,KBM-Flags-Credit Active-High End Retail-Yes
HOMI_Y,KBM-Flags-Credit Active-Home Improvement-Yes
HOMO_Y,KBM-Flags-Credit Active-Home/Office Supplies-Yes
HTFH_Y,KBM-Flags-Hunting and Fishing-Yes
IDC_Y,KBM-Flags-Survey-Diet Concerns-Yes
IOHO_Y,KBM-Survey-Occupation-Homemaker-Yes
IOLA_Y,KBM-Flags-Online Access-Yes
IOLP_Y,KBM-Flags-Online Purchaser-Yes
IOMA_Y,KBM-Survey-Occupation-Management-Yes
IOMG_Y,KBM-Survey-Occupation-Military/Gove-Yes
IOOW_Y,KBM-Survey-Occupation-Operate Home-Yes
IOPT_Y,KBM-Survey-Occupation-Professional-Yes
IORE_Y,KBM-Survey-Occupation-Retired-Yes
IOSA_Y,KBM-Survey-Occupation-Sales Or Mark-Yes
IOSE_Y,KBM-Survey-Occupation-Self Employed-Yes
IOST_Y,KBM-Survey-Occupation-Student-Yes
IOTR_Y,KBM-Survey-Occupation-Tradesman Or-Yes
IPAE_Y,KBM-Flags-Credit Cards-Premium American Express-Yes
IPDI_Y,KBM-Flags-Credit Cards-Premium Discover-Yes
IPOT_Y,KBM-Flags-Credit Cards-Premium Other-Yes
IPSR_Y,KBM-Flags-Credit Cards-Premium Store or Retail-Yes
IPVM_Y,KBM-Flags-Credit Cards-Premium VISA or MasterCard-Yes
IRAE_Y,KBM-Flags-Credit Cards-Regular American Express-Yes
IRDI_Y,KBM-Flags-Credit Cards-Regular Discover-Yes
IROT_Y,KBM-Flags-Credit Cards-Regular Other-Yes
IRSR_Y,KBM-Flags-Credit Cards-Regular Store or Retail-Yes
IRVM_Y,KBM-Flags-Credit Cards-Regular VISA or MasterCard-Yes
LOWD_Y,KBM-Flags-Credit Active-Low End Dept Stores-Yes
M_CHMI,KBM-Calc-CHMI*1000
MEMW_Y,KBM-Flags-Credit Active-Membership Warehouse-Yes
MISC_Y,KBM-Flags-Credit Active-Miscellaneous-Yes
MORI_Y,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Insurance Mail Order Responder-Yes
MR,KBM-Category-Image Mail Order Responder
MR_M,KBM-Category-Image Mail Order Responder-Multiple
MR_Y,KBM-Category-Image Mail Order Responder-Single
MSR_Y,KBM-Flags-Credit Active-Main Street Retail-Yes
N1819_Y,KBM-Flags-Family member 18-19-Yes
N2029_Y,KBM-Flags-Family member 20-29-Yes
N2AUTO,KBM-Census Average Number of Automobiles
OABIGTLL_Y,KBM-Flags-Buyer-Catalog-Apparel-Mens Big and Tall-Yes
OACHILD_Y,KBM-Flags-Buyer-Catalog-Apparel-Children-Yes
OAGEN_Y,KBM-Flags-Buyer-Catalog-Apparel-General-Yes
OAMEN_Y,KBM-Flags-Buyer-Catalog-Apparel-Men-Yes
OANOGEN_Y,KBM-Flags-Buyer-Catalog-Apparel-Non-gender-Yes
OAPETITE_Y,KBM-Flags-Buyer-Catalog-Apparel-Womens Petite-Yes
OAPLUS_Y,KBM-Flags-Buyer-Catalog-Apparel-Womens Plus-Yes
OARTS_Y,KBM-Flags-Buyer-Catalog-Arts & Antiques-Yes
OATEEN_Y,KBM-Flags-Buyer-Catalog-Apparel-Teenager-Yes
OAUTO_Y,KBM-Flags-Buyer-Catalog-Automotive-Yes
OAWOMEN_Y,KBM-Flags-Buyer-Catalog-Apparel-Womens-Yes
OBEAUTY_Y,KBM-Flags-Buyer-Catalog-Beauty-Yes
OBOOKS_Y,KBM-Flags-Buyer-Catalog-Books-Yes
OCHILDPR_Y,KBM-Flags-Buyer-Catalog-Childrens Product-Yes
OCOLLECT_Y,KBM-Flags-Buyer-Catalog-Collectibles-Yes
OCOMPHMO_Y,KBM-Flags-Buyer-Catalog-Computing/Home Office-Yes
OCRAFTS_Y,KBM-Flags-Buyer-Catalog-Crafts/Hobbies-Yes
OELECTNC_Y,KBM-Flags-Buyer-Catalog-Electronics-Yes
OFOOD_Y,KBM-Flags-Buyer-Catalog-Food/Beverages-Yes
OFURNITR_Y,KBM-Flags-Buyer-Catalog-Furniture-Yes
OGARDEN_Y,KBM-Flags-Buyer-Catalog-Garden-Yes
OGEN_Y,KBM-Flags-Buyer-Catalog-General Merchandise-Yes
OGIFT_Y,KBM-Flags-Buyer-Catalog-Gift-Yes
OHEALTH_Y,KBM-Flags-Buyer-Catalog-Health-Yes
OHMCARE_Y,KBM-Flags-Buyer-Catalog-Home Care-Yes
OHMFURN_Y,KBM-Flags-Buyer-Catalog-Home Furnishings-Yes
OHOLIDAY_Y,KBM-Flags-Buyer-Catalog-Holiday Items-Yes
OHSWARE_Y,KBM-Flags-Buyer-Catalog-Housewares-Yes
OILC_Y,KBM-Flags-Credit Active-Oil Companies-Yes
OJEWELRY_Y,KBM-Flags-Buyer-Catalog-Jewelry-Yes
OLINENS_Y,KBM-Flags-Buyer-Catalog-Linens-Yes
OMUSIC_Y,KBM-Flags-Buyer-Catalog-Music-Yes
ONLA_Y,KBM-Flags-Image Online User-Yes
ONOVEL_Y,KBM-Flags-Buyer-Catalog-Novelty-Yes
OOTHER_Y,KBM-Flags-Buyer-Catalog-Other Merchandise/Services-Yes
OPERCARE_Y,KBM-Flags-Buyer-Catalog-Personal Care-Yes
OPETS_Y,KBM-Flags-Buyer-Catalog-Pets-Yes
OPHOTO_Y,KBM-Flags-Buyer-Catalog-Photo & Video Equipment-Yes
OSPECFD_Y,KBM-Flags-Buyer-Catalog-Specialty Food-Yes
OSPECGFT_Y,KBM-Flags-Buyer-Catalog-Specialty Gifts-Yes
OSPORTS_Y,KBM-Flags-Buyer-Catalog-Sports & Leisure-Yes
OSTATION_Y,KBM-Flags-Buyer-Catalog-Stationery-Yes
OTRAVEL_Y,KBM-Flags-Buyer-Catalog-Travel-Yes
OVIDDVD_Y,KBM-Flags-Buyer-Catalog-Videos/DVDs-Yes
P_ESTINC_CHMI,KBM-Census Income Scale: P_ESTINC_CHMI
PART,KBM-Category-Voter Party
PART_D,KBM-Category-Voter Party-Democrat
PART_I,KBM-Category-Voter Party-Independent
PART_R,KBM-Category-Voter Party-Republican
PILOTS_Y,KBM-Flags-Pilots-Yes
RABIGTLL_Y,KBM-Flags-Buyer-Retail-Apparel-Mens Big and Tall-Yes
RACHILD_Y,KBM-Flags-Buyer-Retail-Apparel-Children-Yes
RAGEN_Y,KBM-Flags-Buyer-Retail-Apparel-General-Yes
RAMEN_Y,KBM-Flags-Buyer-Retail-Apparel-Men-Yes
RANOGEN_Y,KBM-Flags-Buyer-Retail-Apparel-Non-gender-Yes
RAPETITE_Y,KBM-Flags-Buyer-Retail-Apparel-Womens Petite-Yes
RAPLUS_Y,KBM-Flags-Buyer-Retail-Apparel-Womens Plus-Yes
RARTS_Y,KBM-Flags-Buyer-Retail-Arts & Antiques-Yes
RAUTO_Y,KBM-Flags-Buyer-Retail-Automotive-Yes
RAWOMEN_Y,KBM-Flags-Buyer-Retail-Apparel-Women-Yes
RBEAUTY_Y,KBM-Flags-Buyer-Retail-Beauty-Yes
RBOOKS_Y,KBM-Flags-Buyer-Retail-Books-Yes
RC,KBM-Category-Image Retail Card
RC_M,KBM-Category-Image Retail Card-Multiple
RC_Y,KBM-Category-Image Retail Card-Single
RCHILDPR_Y,KBM-Flags-Buyer-Retail-Childrens Products-Yes
RCOLLECT_Y,KBM-Flags-Buyer-Retail-Collectibles-Yes
RCOMPHMO_Y,KBM-Flags-Buyer-Retail-Computing/Home Office-Yes
RCRAFTS_Y,KBM-Flags-Buyer-Retail-Crafts/Hobbies-Yes
RELECTNC_Y,KBM-Flags-Buyer-Retail-Electronics-Yes
RETAIL_Y,KBM-Flags-Buyer Retail Data Present-Yes
RETMILSP_Y,KBM-Flags-Retired Military - Spouse-Yes
RETMILT_Y,KBM-Flags-Retired Military-Yes
RFOOD_Y,KBM-Flags-Buyer - Retail - Food/Beverages-Yes
RFURNITR_Y,KBM-Flags-Buyer - Retail - Furniture-Yes
RGARDEN_Y,KBM-Flags-Buyer - Retail - Garden-Yes
RGIFT_Y,KBM-Flags-Buyer - Retail - Gift-Yes
RHEALTH_Y,KBM-Flags-Buyer - Retail - Health-Yes
RHMCARE_Y,KBM-Flags-Buyer - Retail - Home Care-Yes
RHMFURN_Y,KBM-Flags-Buyer - Retail - Home Furnishings-Yes
RHOLIDAY_Y,KBM-Flags-Buyer - Retail - Holiday Items-Yes
RHSWARE_Y,KBM-Flags-Buyer - Retail - Housewares-Yes
RJEWELRY_Y,KBM-Flags-Buyer - Retail - Jewelry-Yes
RLINENS_Y,KBM-Flags-Buyer - Retail - Linens-Yes
RMUSIC_Y,KBM-Flags-Buyer - Retail - Music-Yes
RNOVEL_Y,KBM-Flags-Buyer - Retail - Novelty-Yes
RORDERDT_D,KBM-Date-Buyer - Retail - Last Order Date
ROTHER_Y,KBM-Flags-Buyer - Retail - Other Merchandise/Services-Yes
RPERCARE_Y,KBM-Flags-Buyer - Retail - Personal Care-Yes
RPETS_Y,KBM-Flags-Buyer - Retail - Pets-Yes
